NAME,CITY__C,COUNTRY__C,POSTAL_CODE__C,STATE__C,STREET__C,PHONE__C,TOLL_FREE__C,FAX__C,INSUFFICIENT_INVENTORY_EMAIL__C
Montreal,Sainte-Marthe-sur-le-Lac,Canada,J0N 1P0,Quebec,3255 Chemin d'Oka,(514) 907-7999,(877) 855-5771,(450) 472-7288,
Barrie,Innisfil,Canada,L9S 3W1,Ontario,2375 Industrial Park Rd,(705) 431-6922,(800) 459-8448,(705) 431-6924,
Adjustments,,,,,,,,,
In Transit,,,,,,,,,
Whitefish,Whitefish (Sudbury),Canada,P0M 3E0,ON,4795 Regional Road 55,(705) 866-2821,(800) 461-4050,(705) 866-2616,
Wholesale,Whitefish (Sudbury),Canada,P0M 3E0,ON,4795 Regional Road 55,(705) 866-2821,(800) 461-4050,(705) 866-2616,
Legend Boats X,,,,,,,,,
